day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1,2019,11,18,18/11/2019,39.3,33.9,1011.7,7.3,7.1,13,20,43,30,0.01,999.9,0,743
6,2021,12,25,25/12/2021,40.5,36.6,1005.4,5.6,3,7,15,48.9,30,0.05,999.9,1,189
6,2021,12,25,25/12/2021,40.5,36.6,1005.4,5.6,3,7,15,48.9,30,0.05,999.9,1,189
2,2014,12,30,30/12/2014,32.5,14.6,1026.9,10,4.3,7,15,44.1,30,0,999.9,0,469
6,2019,11,30,30/11/2019,36.3,16.8,1018,10,4,7,999.9,43,30,0,999.9,0,465
7,2019,12,1,01/12/2019,33.3,21,1013.8,8,7,14,22.9,43,30,0,999.9,0,409
1,2019,12,2,02/12/2019,35.3,32.7,999,5.4,8.2,15,29.9,39,30,0.65,999.9,1,580
7,2017,2,12,12/02/2017,34.7,28.7,1017.7,6.2,6.4,14,20,48,30,0.04,5.1,0,439
2,2019,12,3,03/12/2019,32.4,26,1000.1,6.6,6.6,11.1,20,37,30,0.47,999.9,0,620
1,2017,2,13,13/02/2017,35.2,24.7,1007,9.8,9.9,21,34,39.9,30,0.44,2,0,642
